City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
478,akonolinga,3.7667,12.25,19.46,94,28,1.06,CM,1675220174
479,lavrentiya,65.5833,-171.0,-10.86,99,100,2.36,RU,1675220174
480,mozarlandia,-14.7447,-50.5706,22.76,88,55,1.12,BR,1675220175
481,venado,22.9333,-101.0833,14.47,80,27,5.51,MX,1675220175
482,constitucion,-35.3333,-72.4167,12.62,83,1,4.4,CL,1675219933
483,pittsburg,38.028,-121.8847,11.67,52,0,1.34,US,1675220175
484,kargat,55.1956,80.2811,-24.75,100,66,1.23,RU,1675220176
485,usinsk,65.9939,57.5281,-4.86,90,100,9.75,RU,1675220176
486,naliya,23.2667,68.8333,15.98,47,8,5.51,IN,1675220176
487,asau,46.4333,26.4,-3.49,91,79,2.81,RO,1675219725
488,bjerkvik,68.5597,17.5189,-3.4,93,93,2.22,NO,1675220177
489,marzuq,14.4,46.4667,14.27,43,23,2.19,YE,1675220177
490,nyurba,63.2842,118.3319,-33.03,97,95,2.7,RU,1675220177
491,kayunga,0.7025,32.8886,17.03,94,14,1.18,UG,1675220178
492,camargo,27.6667,-105.1667,14.67,57,100,1.15,MX,1675220178
493,bonito,-21.1211,-56.4819,21.2,98,100,1.65,BR,1675220178
494,carauari,-4.8828,-66.8958,21.59,98,95,0.95,BR,1675220179
495,alta,69.9689,23.2717,-1.41,85,75,2.06,NO,1675220179
496,cueto,20.6439,-75.9356,24.29,81,7,5.49,CU,1675220179
497,anloga,5.7947,0.8973,26.47,81,96,2.19,GH,1675220180
498,porto velho,-8.7619,-63.9039,23.03,94,0,0.0,BR,1675220159
499,colesberg,-30.72,25.0972,17.83,73,14,2.28,ZA,1675219922
500,ahmadpur sial,30.6754,71.7483,12.81,50,0,3.06,PK,1675220180
501,vitim,59.4511,112.5578,-17.39,93,100,3.37,RU,1675219878
502,vila franca do campo,37.7167,-25.4333,12.23,81,55,3.26,PT,1675220181
503,plettenberg bay,-34.0527,23.3716,18.99,82,0,3.08,ZA,1675220181
504,kostivere,59.427,25.0962,0.55,84,100,1.54,EE,1675220182
505,kirakira,-10.4544,161.9205,28.4,75,100,3.25,SB,1675219630
506,caibarien,22.5206,-79.4669,23.62,78,3,7.39,CU,1675220182
507,wheeling,42.1392,-87.929,-13.34,66,0,2.57,US,1675219911
508,whakatane,-37.9585,176.9854,20.99,99,100,4.92,NZ,1675220182
509,yumen,40.2833,97.2,-4.9,34,100,2.42,CN,1675219965
510,praya,14.9215,-23.5087,21.3,73,40,8.23,CV,1675220183
511,olot,42.181,2.4901,7.0,50,1,1.41,ES,1675220183
512,vardo,70.3705,31.1107,0.99,86,75,8.75,NO,1675220183
513,baracoa,20.3467,-74.4958,24.1,80,21,6.05,CU,1675220184
